epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,2927.5,0.82909,1.5322,0.77202,1.12552,0.95753,0.95181,0.98427,0.8419,0.95753,0.95181,0.98454,0.78365,0.61705,1.14913,0.41006,0.99859,0.000363239,0.000363239,0.000363239
81,2964.46,0.81357,1.47441,0.74283,1.11308,0.9642,0.92913,0.98253,0.83112,0.96545,0.93059,0.98243,0.77962,0.6423,1.14833,0.43022,1.00811,0.000346736,0.000346736,0.000346736
82,3001.02,0.81979,1.50587,0.7716,1.11578,0.95888,0.94084,0.98247,0.84723,0.9587,0.93571,0.98213,0.78244,0.60877,1.14009,0.41539,0.99619,0.000330233,0.000330233,0.000330233
83,3037.87,0.80681,1.48346,0.75814,1.11954,0.95878,0.95644,0.98464,0.84541,0.95441,0.95838,0.98501,0.78736,0.60399,1.13157,0.3999,0.99124,0.000313729,0.000313729,0.000313729
84,3075.14,0.8135,1.47896,0.73811,1.11186,0.9528,0.95881,0.98507,0.84409,0.9528,0.95881,0.98507,0.78441,0.60623,1.12819,0.39747,0.99553,0.000297226,0.000297226,0.000297226
85,3112.28,0.78275,1.46273,0.73264,1.10353,0.96553,0.9528,0.98577,0.84636,0.96553,0.9528,0.98577,0.79118,0.59868,1.11703,0.39729,0.98913,0.000280723,0.000280723,0.000280723
86,3149.46,0.80115,1.46082,0.71994,1.10622,0.95449,0.96053,0.98678,0.85562,0.95449,0.96053,0.98678,0.79853,0.59015,1.09395,0.38465,0.97969,0.00026422,0.00026422,0.00026422
87,3186.2,0.79349,1.41025,0.70359,1.10787,0.95479,0.95999,0.98547,0.85565,0.95479,0.95999,0.98547,0.79494,0.57858,1.09726,0.39207,0.97705,0.000247716,0.000247716,0.000247716
88,3223.13,0.7853,1.42961,0.70331,1.10389,0.96056,0.96146,0.98769,0.86463,0.96056,0.96146,0.98769,0.79971,0.57593,1.08963,0.37301,0.97229,0.000231213,0.000231213,0.000231213
89,3259.79,0.74514,1.37405,0.65999,1.06975,0.96993,0.96127,0.98782,0.86291,0.96993,0.96127,0.98782,0.7976,0.57372,1.08491,0.37384,0.969,0.00021471,0.00021471,0.00021471
90,3296.16,0.77856,1.43288,0.70213,1.08823,0.96577,0.96953,0.98818,0.86795,0.96577,0.96953,0.98853,0.80993,0.56372,1.07312,0.37031,0.9654,0.000198206,0.000198206,0.000198206
91,3334.22,0.66125,1.21851,0.49976,1.05239,0.96835,0.95134,0.98791,0.86176,0.96835,0.95134,0.98791,0.80289,0.56668,1.0917,0.37973,0.96367,0.000181703,0.000181703,0.000181703
92,3370.5,0.62027,1.16661,0.46411,1.01435,0.96723,0.9737,0.98954,0.86892,0.96723,0.9737,0.98954,0.81119,0.55516,1.06071,0.36944,0.95856,0.0001652,0.0001652,0.0001652
93,3406.79,0.61692,1.16456,0.4699,1.01106,0.97052,0.97064,0.99094,0.87894,0.97052,0.97064,0.99103,0.81269,0.53831,1.05307,0.35738,0.95068,0.000148696,0.000148696,0.000148696
94,3443.17,0.61069,1.14407,0.44518,1.01579,0.97045,0.96862,0.99139,0.87647,0.97045,0.96862,0.99139,0.81697,0.53232,1.03784,0.35293,0.94692,0.000132193,0.000132193,0.000132193
95,3479.17,0.58977,1.13004,0.43036,1.01649,0.97202,0.97207,0.99169,0.88137,0.97202,0.97207,0.99169,0.81861,0.52668,1.03547,0.34681,0.9433,0.00011569,0.00011569,0.00011569
96,3515.17,0.57501,1.12952,0.436,1.00398,0.98016,0.97223,0.99174,0.88352,0.98016,0.97223,0.99177,0.82204,0.52044,1.02985,0.34023,0.93998,9.91865e-05,9.91865e-05,9.91865e-05
97,3551.3,0.59207,1.10709,0.43477,1.02006,0.97854,0.97401,0.99213,0.88696,0.97928,0.97474,0.9922,0.82181,0.51309,1.02175,0.33729,0.93495,8.26832e-05,8.26832e-05,8.26832e-05
98,3587.38,0.56412,1.11717,0.42506,0.9879,0.98006,0.97222,0.99234,0.88876,0.98006,0.97222,0.99237,0.82188,0.50902,1.01921,0.33575,0.93215,6.61799e-05,6.61799e-05,6.61799e-05
99,3623.71,0.56717,1.13523,0.411,0.9839,0.97839,0.97176,0.99233,0.89026,0.97839,0.97176,0.99235,0.82549,0.5025,1.01506,0.33391,0.92862,4.96766e-05,4.96766e-05,4.96766e-05
100,3661.17,0.56718,1.10144,0.41398,0.98846,0.98224,0.97598,0.9924,0.89022,0.98224,0.97598,0.9924,0.82705,0.49852,1.00979,0.33132,0.92755,3.31733e-05,3.31733e-05,3.31733e-05
